key	script
l1_intro	我们先来认识这八个动物。用鼠标点一点它们，每一个我都告诉你它是谁。
l1_done	八个动物你都认识啦！记住，个子大的能吃个子小的，只有老鼠是个例外。
p_elephant	这是大象。它个子最大，力气也最大，除了老鼠，谁都打不过它。
p_lion	这是狮子，森林之王。它有一个本领，能一下子跳过整条河。
p_tiger	这是老虎。它也会跳过河，不过狮子比它厉害一点点。
p_leopard	这是豹子，跑得飞快。可是它打不过老虎和狮子。
p_wolf	这是狼。它能吃掉狗、猫和老鼠。
p_dog	这是狗。它能吃掉猫和老鼠。
p_cat	这是猫。它只能吃老鼠，别的动物它都打不过。
p_rat	这是老鼠。它最小，可是它能钻进大象的鼻子里，把大象打败！而且只有它会游泳。
l2_s1	狼比猫厉害。点一下狼，再点一下猫，把它吃掉。
l2_s1_ok	对了！大的可以吃小的。
l2_s2	现在反过来了。我们只有一只小猫，对面是一只狼。小猫吃不动狼，快带它躲开。
l2_s2_ok	躲得好。打不过的时候，走开也是聪明的办法。
l2_s2_no	猫太小啦，吃不动狼。往别的方向走走看。
l2_s3	两只一样大的豹子碰上了。一样大的撞在一起会同归于尽，两只一起消失。你试试。
l2_s3_ok	看到了吗？两只都不见了。一样大的碰在一起，谁也占不到便宜。
l2_s4	最后一题。狮子和豹子，谁厉害？厉害的那个去吃掉另一个。
l2_s4_ok	全对！你已经记住谁能吃谁了。
l3_s1	这一关最有意思。老鼠最小，可是它专门能打败大象。用老鼠去吃掉那头大象！
l3_s1_ok	厉害吧！老鼠会钻进大象的鼻子，大象最怕它了。
l3_s2	那大象能不能吃老鼠呢？我们的大象在这里，你试试看。
l3_s2_ok	记住啦：老鼠能吃大象，大象不能吃老鼠。只有这一对是反过来的。
l3_s2_no	不行哦，大象怕老鼠，吃不了它。让大象躲开吧。
l4_s1	中间这两块蓝色的是河。八个动物里，只有老鼠会游泳。让老鼠下水试试。
l4_s1_ok	老鼠会游泳！在水里的时候，岸上的动物咬不到它，它也咬不到岸上的动物。
l4_croc	河里趴着一只鳄鱼，它一动不动，可是老鼠游不过去。让老鼠绕开它走。
l4_croc_ok	绕过去了。鳄鱼那一格谁都进不去，不过狮子和老虎跳的时候可以从它上面飞过去。
l4_croc_no	鳄鱼挡在那儿呢，老鼠过不去。从旁边绕过去吧。
l4_s2	这次是一只狼。你试试能不能让它下水。
l4_s2_ok	对，只有老鼠能下水。
l4_s2_no	狼不会游泳，下不了水。除了老鼠，谁都不能进河里。
l4_s3	狮子和老虎有个特别的本领：它们能一下子跳过整条河。让狮子跳到对面去。
l4_s3_ok	跳过去啦！狮子和老虎横着跳、竖着跳都可以。
l4_s4	可是水里有一只老鼠挡在中间。你再试试狮子还能不能跳过去。
l4_s4_ok	记住：只要河里有老鼠，不管是谁的老鼠，狮子和老虎都跳不过去。
l4_s4_no	有老鼠在水里挡着，狮子就跳不过去了。这是老鼠的另一个本领。
l5_s1	看这三个带叉的格子，是我们家门口的陷阱。对面的大象踩进来了！掉进陷阱的动物就没力气了，用我们的小猫去吃掉它。
l5_s1_ok	小猫吃掉了大象！只要敌人踩进我们的陷阱，我们随便哪个动物都能吃掉它。
l5_s2	反过来也一样。前面那三个格子是对方家门口的陷阱，我们的大象要是踩进去，连小猫都能把它吃掉。快让大象躲开。
l5_s2_ok	躲开了。走出陷阱以后，力气就会回来，所以千万别在陷阱里待着。
l5_s2_no	别进去！那是对方的陷阱，进去大象就没力气了。
l6_s1	棋盘最上面那个洞，是对方的家。只要我们有一个动物走进去，我们就赢了。带这只狼走进去！
l6_s1_ok	赢啦！记住，走进对方的家就直接赢，不用把它的动物都吃光。
l6_s2	现在你全都学会了。我们来下一整盘吧，我会让着你一点。你的动物在下面，先走。
l6_s2_ok	你毕业啦！以后可以自己挑难度，跟我下棋了。
ui_welcome	欢迎来玩斗兽棋！点上面的按钮开始吧。
ui_your_turn	该你走了。
ui_illegal	这里走不了，换一个地方试试。
ui_cannot_eat	它太厉害了，我们吃不动。
ui_captured	吃掉一个！
ui_lost	我们被吃掉一个，没关系，继续。
ui_win	你赢啦！真棒。
ui_lose	这局我赢了。再来一盘吧！
ui_draw	最后两个撞在一起，一起没了。这局算平手！
ui_mutual	一样大的碰上了，两个一起没了。
ui_undo	好，我们退回去重新走。
ui_easier	这一档有点难，我们换简单一点的，好不好？
ui_harder	你连赢了两盘！要不要试试更难的？
ui_long_game	这盘下了挺久啦，要不要休息一下眼睛？
